id,name,aadhaar,bank_account,bank_name,address,district,scheme,amount,dob,mobile,registration_date
1,Suman Ghosh,093193594523,84284469855,Indian Bank,"House 918, Netaji Nagar, Goalpara",Goalpara,Ayushman Bharat,20893.6,1992-02-23,9194677710,2025-11-09
2,Vandana Nirmalkar,629730271339,17616840415,Bank of Baroda,"House 275, Gandhi Nagar, Gorakhpur",Gorakhpur,NSP Scholarship,4672.94,1983-11-30,9935529963,2021-09-21
3,Shanti Mukherjee,211569553879,60278344984,Allahabad Bank,"House 100, Azad Nagar, Jodhpur",Jodhpur,PM-KISAN,5016.21,1991-05-26,9265280854,2020-12-31
4,Yogesh Rajput,425382696750,84657562454,Canara Bank,"House 591, Ambedkar Nagar, Bhopal",Bhopal,PM Fasal Bima,6633.89,1996-06-12,9554914537,2023-11-18
5,Suresh Chatterjee,540428246852,50160681319,Central Bank,"House 99, Lal Bahadur Nagar, Jaipur",Jaipur,PMKVY Skill Dev,10953.89,1997-11-17,9829302222,2021-05-08
6,Pooja Mallah,417556063956,39116987239,Indian Bank,"House 750, Indira Colony, Amritsar",Amritsar,NSP Scholarship,4187.56,1956-12-30,9250651120,2021-08-16
7,Sunil Tiwari,668285583764,28272076188,Central Bank,"House 326, Subhash Nagar, Gaya",Gaya,PMKVY Skill Dev,10638.07,1964-12-01,9714702082,2025-03-11
8,Prakash Yadav,483869881752,05997471613,Canara Bank,"House 727, Lal Bahadur Nagar, Lucknow",Lucknow,NSAP Pension,2222.31,1985-01-01,9477655694,2024-11-28
9,Parvati Pillai,595908980424,53733853148,Bank of Baroda,"House 452, Bapunagar, Muzaffarpur",Muzaffarpur,PMKVY Skill Dev,16329.96,1957-04-20,9451421715,2021-11-22
10,Anil Bose,509235402065,80691800499,Canara Bank,"House 375, Krishnanagar, Allahabad",Allahabad,PM Fasal Bima,13728.79,1990-10-23,9544592840,2021-09-20
11,Rajan Joshi,848914256096,01342905719,Central Bank,"House 293, Rajiv Nagar, Jaipur",Jaipur,PMSBY Insurance,1521.77,1965-12-29,9866960762,2022-07-10
12,Bharat Das,424140469371,62617973008,Indian Bank,"House 598, Model Town, Udaipur",Udaipur,PMKVY Skill Dev,8413.81,1996-01-02,9578394345,2022-09-15
13,Munni Tiwari,165635675137,73233855591,Canara Bank,"House 154, Krishnanagar, Jabalpur",Jabalpur,NSP Scholarship,10324.07,1984-10-24,9045898834,2025-10-29
14,Ganesh Shah,673838113074,91944064603,Bank of India,"House 591, Indira Colony, Varanasi",Varanasi,PM Awas Yojana,136718.93,1999-10-14,9207734427,2025-11-05
15,Mamta Verma,737006614238,37659008372,Bank of Baroda,"House 257, Krishnanagar, Bilaspur",Bilaspur,PM Fasal Bima,23746.19,1965-01-01,9300055695,2023-01-03
16,Sunil Kewat,589249494934,44019623436,State Bank of India,"House 248, Sardar Patel Nagar, Gaya",Gaya,PM Ujjwala,2907.25,1995-04-23,9681957102,2022-08-13
17,Kamla Kahar,556493548395,56574417764,Bank of Baroda,"House 607, Ambedkar Nagar, Indore",Indore,PM Ujjwala,1801.52,1971-11-22,9234264105,2025-10-11
